READ_NEME	REF_NAME	POS	STRAND	NUMBER_OF_ALIGNMENTS	HAMMING_DISTANCE
@D81P8DQ1:109:D1CW8ACXX:8:2113:20885:52225/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2115:14827:95606/2	chr15:28356359-28361359	2468	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2115:18560:43758/2	chr15:28356359-28361359	254	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2116:8307:72665/2	chr15:28356359-28361359	2451	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2116:12190:97137/2	chr15:28356359-28361359	1090	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2116:16320:55554/2	chr15:28356359-28361359	3050	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2116:17707:14428/2	chr15:28356359-28361359	1151	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2116:19111:66210/2	chr15:28356359-28361359	654	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2201:5112:80597/2	chr15:28356359-28361359	3555	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2201:10127:55373/2	chr15:28356359-28361359	3400	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2201:11506:44873/2	chr15:28356359-28361359	1060	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2201:15206:62921/2	chr15:28356359-28361359	1703	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2201:19677:53232/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2202:4207:3039/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2202:18527:36892/2	chr15:28356359-28361359	3876	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2203:8117:21612/2	chr15:28356359-28361359	4566	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2203:10977:61568/2	chr15:28356359-28361359	4550	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2203:17877:44676/2	chr15:28356359-28361359	3537	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2204:10894:43624/2	chr15:28356359-28361359	1641	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2204:12333:46406/2	chr15:28356359-28361359	497	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2205:4532:69297/2	chr15:28356359-28361359	4336	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2205:9546:33526/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2205:10328:54810/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2205:12878:62551/2	chr15:28356359-28361359	4615	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2205:19326:43791/2	chr15:28356359-28361359	2034	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2206:2379:19048/2	chr15:28356359-28361359	2102	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2206:8367:89927/2	chr15:28356359-28361359	103	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2206:11221:19355/2	chr15:28356359-28361359	4721	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2206:14553:57694/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2207:4861:38925/2	chr15:28356359-28361359	4089	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2207:12893:30054/2	chr15:28356359-28361359	4795	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2208:3452:82446/2	chr15:28356359-28361359	1240	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2208:5006:60876/2	chr15:28356359-28361359	2476	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2208:14359:79465/2	chr15:28356359-28361359	2729	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2208:15011:31050/2	chr15:28356359-28361359	2894	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2208:15479:22589/2	chr15:28356359-28361359	3966	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2209:14899:94348/2	chr15:28356359-28361359	963	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2210:3772:39034/2	chr15:28356359-28361359	1530	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2210:8582:90346/2	chr15:28356359-28361359	2835	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2210:11736:19716/2	chr15:28356359-28361359	4648	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2210:13008:59917/2	chr15:28356359-28361359	2913	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2211:4486:34667/2	chr15:28356359-28361359	726	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2211:4995:2331/2	chr15:28356359-28361359	2511	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2211:17036:100500/2	chr15:28356359-28361359	1908	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2212:4408:87983/2	chr15:28356359-28361359	2753	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2212:5305:19139/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2212:6800:19443/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2212:12186:96879/2	chr15:28356359-28361359	1600	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2212:13859:27142/2	chr15:28356359-28361359	1722	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2212:20412:57005/2	chr15:28356359-28361359	2543	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2213:4965:16894/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2213:15915:61867/2	chr15:28356359-28361359	3435	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2213:17616:27131/2	chr15:28356359-28361359	2990	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2213:19154:55622/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2215:1924:2731/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2215:7287:71310/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2215:13058:78581/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2215:14438:87202/2	chr15:28356359-28361359	4314	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2215:15814:17000/2	chr15:28356359-28361359	1689	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2216:6603:62622/2	chr15:28356359-28361359	3312	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2216:18937:38421/2	chr15:28356359-28361359	2275	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2301:11924:6112/2	chr15:28356359-28361359	4347	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2301:15948:69195/2	chr15:28356359-28361359	4534	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2301:17851:60046/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2302:11560:94710/2	chr15:28356359-28361359	1107	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2302:16437:5374/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2302:16558:94577/2	chr15:28356359-28361359	3766	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2302:17051:51939/2	chr15:28356359-28361359	1554	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2302:17667:67555/2	chr15:28356359-28361359	4782	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2302:20406:100568/2	chr15:28356359-28361359	1147	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2302:21178:50773/2	chr15:28356359-28361359	925	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2303:11163:80010/2	chr15:28356359-28361359	4556	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2303:12172:34159/2	chr15:28356359-28361359	1183	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2303:13056:90353/2	chr15:28356359-28361359	2966	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2303:19299:65330/2	chr15:28356359-28361359	2532	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2303:20811:66202/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2304:2048:92639/2	chr15:28356359-28361359	2558	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2304:8836:74819/2	chr15:28356359-28361359	4355	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2304:8919:48941/2	chr15:28356359-28361359	3430	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2304:15723:35766/2	chr15:28356359-28361359	3820	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2305:6986:43740/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2305:11775:88944/2	chr15:28356359-28361359	4724	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2306:3190:98838/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2306:15371:39750/2	chr15:28356359-28361359	4865	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2306:17642:55363/2	chr15:28356359-28361359	4719	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2307:13947:52948/2	chr15:28356359-28361359	3063	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2307:15012:42791/2	chr15:28356359-28361359	1751	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2307:15688:95039/2	chr15:28356359-28361359	1828	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2308:2449:31359/2	chr15:28356359-28361359	3764	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2308:3069:48335/2	chr15:28356359-28361359	2404	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2308:3561:47518/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2308:6022:99367/2	chr15:28356359-28361359	2584	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2308:7065:21668/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2308:17472:34306/2	chr15:28356359-28361359	4266	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2308:17679:61935/2	chr15:28356359-28361359	1747	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2309:6205:95693/2	chr15:28356359-28361359	4623	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2309:7883:90137/2	chr15:28356359-28361359	3366	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2309:12356:13382/2	chr15:28356359-28361359	2496	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2309:13911:50617/2	chr15:28356359-28361359	2918	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2309:19558:23606/2	chr15:28356359-28361359	4287	-	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2310:9897:53507/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2311:2193:54460/2	chr15:28356359-28361359	479	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2311:3761:100063/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2311:7929:58554/2	chr15:28356359-28361359	989	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2311:14206:4783/2	chr15:28356359-28361359	706	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2312:2168:6337/2	chr15:28356359-28361359	3258	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2312:8895:10523/2	chr15:28356359-28361359	3770	+	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2312:10501:83152/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2312:15683:68607/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2313:11185:51594/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2313:13241:12652/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2313:16264:77562/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2313:16676:34940/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2314:3663:67245/2	chr15:28356359-28361359	445	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2314:7841:41330/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2314:10922:52381/2	chr15:28356359-28361359	949	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2314:16979:72670/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2315:6802:12894/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2315:7352:19618/2	chr15:28356359-28361359	2475	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2315:10015:32235/2	chr15:28356359-28361359	977	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2315:11735:91430/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2315:13878:84498/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2315:14150:68047/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2316:2642:10218/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2316:2885:49512/2	*	0	*	0	*
@D81P8DQ1:109:D1CW8ACXX:8:2316:3114:16317/2	chr15:28356359-28361359	327	+	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2316:5396:3397/2	chr15:28356359-28361359	4067	+	1	0
@D81P8DQ1:109:D1CW8ACXX:8:2316:6166:7218/2	chr15:28356359-28361359	514	-	1	1
@D81P8DQ1:109:D1CW8ACXX:8:2316:8996:77294/2	chr15:28356359-28361359	1027	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2316:13561:79312/2	chr15:28356359-28361359	206	-	1	2
@D81P8DQ1:109:D1CW8ACXX:8:2316:20515:87903/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1101:3282:56536/2	chr15:28356359-28361359	1509	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1101:5552:74845/2	chr15:28356359-28361359	399	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1101:10065:12526/2	chr15:28356359-28361359	4281	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1101:19116:91308/2	chr15:28356359-28361359	1922	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1101:20574:58843/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1102:5202:39454/2	chr15:28356359-28361359	306	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1102:5541:66776/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1102:16015:82710/2	chr15:28356359-28361359	2482	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1103:4087:34768/2	chr15:28356359-28361359	541	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1103:11348:59945/2	chr15:28356359-28361359	4651	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1103:11617:14713/2	chr15:28356359-28361359	3434	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1103:11716:58724/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1103:12777:46889/2	chr15:28356359-28361359	3198	-	1	2
@D81P8DQ1:112:C1BRYACXX:7:1103:13045:64505/2	chr15:28356359-28361359	584	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1103:16120:9212/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1104:8898:41383/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1104:14682:65696/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1104:15177:29966/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1104:19304:4885/2	chr15:28356359-28361359	948	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1105:5826:74973/2	chr15:28356359-28361359	626	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1106:2299:98813/2	chr15:28356359-28361359	4812	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1106:4913:22259/2	chr15:28356359-28361359	2233	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1106:7610:6891/2	chr15:28356359-28361359	2672	-	1	2
@D81P8DQ1:112:C1BRYACXX:7:1106:14847:62175/2	chr15:28356359-28361359	3200	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1106:16692:43733/2	chr15:28356359-28361359	2838	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1107:7825:38897/2	chr15:28356359-28361359	3779	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1107:11253:11923/2	chr15:28356359-28361359	2822	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1107:19379:12013/2	chr15:28356359-28361359	678	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1108:13755:69016/2	chr15:28356359-28361359	1460	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1108:16771:5901/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1108:20969:9895/2	chr15:28356359-28361359	669	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1109:4286:56660/2	chr15:28356359-28361359	3359	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1109:13048:12586/2	chr15:28356359-28361359	1055	+	1	2
@D81P8DQ1:112:C1BRYACXX:7:1109:13302:66736/2	chr15:28356359-28361359	3142	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1110:5501:68212/2	chr15:28356359-28361359	956	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1110:7193:49610/2	chr15:28356359-28361359	2087	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1110:12080:90103/2	chr15:28356359-28361359	3042	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1110:14861:80327/2	chr15:28356359-28361359	2824	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1110:17579:66266/2	chr15:28356359-28361359	1749	-	1	2
@D81P8DQ1:112:C1BRYACXX:7:1110:18358:32224/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1110:19899:38512/2	chr15:28356359-28361359	1007	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1110:20173:11772/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1111:6043:76287/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1111:6402:62576/2	chr15:28356359-28361359	1997	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1111:14419:19892/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1111:20981:86852/2	chr15:28356359-28361359	2542	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1112:1699:63457/2	chr15:28356359-28361359	1640	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1112:9634:86638/2	chr15:28356359-28361359	698	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1112:11298:64535/2	chr15:28356359-28361359	1800	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1112:13984:50504/2	chr15:28356359-28361359	2121	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1112:14486:39092/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1113:2551:7379/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1113:2707:78732/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1113:3946:42361/2	chr15:28356359-28361359	4798	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1113:4518:15487/2	chr15:28356359-28361359	249	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1113:12058:84130/2	chr15:28356359-28361359	1241	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1113:16156:24727/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1114:2531:88430/2	chr15:28356359-28361359	2834	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1114:3285:31138/2	chr15:28356359-28361359	4892	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1114:9281:65714/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1114:19192:80254/2	chr15:28356359-28361359	4313	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1115:7227:43263/2	chr15:28356359-28361359	3628	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1115:7239:89544/2	chr15:28356359-28361359	4223	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1115:9472:83607/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1115:11121:37660/2	chr15:28356359-28361359	3232	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1115:11462:92585/2	chr15:28356359-28361359	3964	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1115:15471:62070/2	chr15:28356359-28361359	3756	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1116:7685:36336/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1116:12243:77517/2	chr15:28356359-28361359	531	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1116:18102:94323/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1201:6204:100337/2	chr15:28356359-28361359	3059	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1201:6994:42005/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1201:11861:73346/2	chr15:28356359-28361359	3600	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1201:14186:52591/2	chr15:28356359-28361359	4197	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1202:17466:56300/2	chr15:28356359-28361359	1170	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1203:12243:89487/2	chr15:28356359-28361359	873	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1203:17298:15987/2	chr15:28356359-28361359	3743	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1204:3268:57014/2	chr15:28356359-28361359	1658	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1204:6127:68465/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1204:8863:68603/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1204:16041:42038/2	chr15:28356359-28361359	2524	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1204:16708:7018/2	chr15:28356359-28361359	248	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1204:18829:48008/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1205:3415:17088/2	chr15:28356359-28361359	1285	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1205:6555:6025/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1205:6889:70348/2	chr15:28356359-28361359	3685	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1205:7129:27739/2	chr15:28356359-28361359	1272	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1205:7391:8887/2	chr15:28356359-28361359	3345	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1205:9843:24023/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1205:20168:53150/2	chr15:28356359-28361359	64	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:3186:77125/2	chr15:28356359-28361359	3066	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:10658:72547/2	chr15:28356359-28361359	2396	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:14960:87804/2	chr15:28356359-28361359	4704	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1206:17240:100095/2	chr15:28356359-28361359	2594	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:18753:69393/2	chr15:28356359-28361359	4891	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:19072:40385/2	chr15:28356359-28361359	1613	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:19662:2929/2	chr15:28356359-28361359	2430	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1206:20924:4308/2	chr15:28356359-28361359	795	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1207:7473:77405/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1207:14197:100702/2	chr15:28356359-28361359	1479	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1207:14922:81258/2	chr15:28356359-28361359	3614	+	1	2
@D81P8DQ1:112:C1BRYACXX:7:1207:20162:85946/2	chr15:28356359-28361359	1266	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1207:21323:65059/2	chr15:28356359-28361359	2426	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1208:5448:34848/2	chr15:28356359-28361359	1614	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1208:6693:98796/2	chr15:28356359-28361359	52	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1208:7080:39379/2	chr15:28356359-28361359	498	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1208:16746:61979/2	chr15:28356359-28361359	4429	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1209:4446:34449/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1209:5756:45322/2	chr15:28356359-28361359	3432	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1209:8736:28525/2	chr15:28356359-28361359	2715	-	1	2
@D81P8DQ1:112:C1BRYACXX:7:1209:12180:12211/2	chr15:28356359-28361359	1334	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1209:18167:37086/2	chr15:28356359-28361359	386	-	1	1
@D81P8DQ1:112:C1BRYACXX:7:1209:18364:19111/2	chr15:28356359-28361359	2687	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1209:18615:85384/2	chr15:28356359-28361359	2344	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1210:3069:63214/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1210:4643:64762/2	chr15:28356359-28361359	3029	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1210:6177:48353/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1210:10841:95064/2	chr15:28356359-28361359	4771	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1210:11350:78306/2	chr15:28356359-28361359	3433	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1210:14744:27783/2	chr15:28356359-28361359	1511	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1211:4742:32293/2	chr15:28356359-28361359	1438	-	1	2
@D81P8DQ1:112:C1BRYACXX:7:1211:13682:80399/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1211:16641:77046/2	chr15:28356359-28361359	626	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1212:5739:40148/2	chr15:28356359-28361359	3084	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1212:10376:54865/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1212:11727:96097/2	chr15:28356359-28361359	2306	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1212:13101:9917/2	chr15:28356359-28361359	1655	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1212:16859:25399/2	chr15:28356359-28361359	2221	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1212:21208:87600/2	*	0	*	0	*
@D81P8DQ1:112:C1BRYACXX:7:1213:3452:19971/2	chr15:28356359-28361359	1408	+	1	1
@D81P8DQ1:112:C1BRYACXX:7:1213:5412:47685/2	chr15:28356359-28361359	2912	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1213:13036:24141/2	chr15:28356359-28361359	2177	-	1	0
@D81P8DQ1:112:C1BRYACXX:7:1213:14703:91109/2	chr15:28356359-28361359	1241	+	1	0
@D81P8DQ1:112:C1BRYACXX:7:1213:16620:55351/2	chr15:28356359-28361359	1136	-	1	0
